Kabupaten/Kota;Tahun;Jumlah_Penduduk;Persentase_miskin;pengeluaran_per_kapita
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
